Date,A_SB,A_NB,A_Total,B_SB,B_NB,B_Total,H_SB,H_NB,H_Total,A_Day,H_Day,A_WD,H_WD,A_M,H_M,A_DM,H_DM,Year,F_SB,F_NB,F_Total,,
5/27/2019,3016,6948,9964,2661,5641,8302,2160,5041,7201,1,1,0,0,5,5,27,28,2019,3016,6948,9964,,
5/28/2019,2742,5322,8064,2386,4542,6929,1937,4078,6015,2,2,0,0,5,5,28,29,2019,2742,5322,8064,,
5/29/2019,2731,3878,6609,2330,3360,5690,1891,2944,4835,3,3,0,0,5,5,29,30,2019,2731,3878,6609,,
5/30/2019,3569,3706,7275,3319,3241,6560,2694,2840,5534,4,4,0,0,5,5,30,31,2019,3569,3706,7275,,
5/31/2019,3689,4253,7942,3190,3156,6346,2589,3222,5811,5,5,1,1,5,6,31,1,2019,3689,4253,7942,,
6/1/2019,3128,4313,7441,3130,3692,6822,2429,3063,5492,6,6,1,1,6,6,1,2,2019,3128,4313,7441,,
6/2/2019,3586,4358,7944,3204,3999,7202,2486,3318,5804,7,7,1,1,6,6,2,3,2019,3586,4358,7944,,
6/3/2019,3487,3885,7372,3103,3164,6267,2408,2625,5033,1,1,0,0,6,6,3,4,2019,3487,3885,7372,,
6/4/2019,3324,3414,6738,3148,2893,6041,2443,2400,4843,2,2,0,0,6,6,4,5,2019,3324,3414,6738,,
6/5/2019,3438,3214,6652,3267,2808,6075,2535,2330,4865,3,3,0,0,6,6,5,6,2019,3438,3214,6652,,
6/6/2019,4412,2983,7395,3845,2803,6649,2984,2326,5310,4,4,0,0,6,6,6,7,2019,4412,2983,7395,,
6/7/2019,4306,3004,7310,4271,3190,7461,3314,2647,5961,5,5,1,1,6,6,7,8,2019,4306,3004,7310,,
6/8/2019,4463,3991,8454,4057,3238,7295,3148,2687,5835,6,6,1,1,6,6,8,9,2019,4463,3991,8454,,
6/9/2019,3913,4125,8038,3832,3972,7805,2974,3296,6270,7,7,1,1,6,6,9,10,2019,3913,4125,8038,,
6/10/2019,3679,3953,7632,3206,3105,6311,2488,2576,5064,1,1,0,0,6,6,10,11,2019,3679,3953,7632,,
6/11/2019,4142,3360,7502,3747,3109,6857,2908,2580,5488,2,2,0,0,6,6,11,12,2019,4142,3360,7502,,
6/12/2019,3778,3193,6971,3732,3112,6844,2896,2582,5478,3,3,0,0,6,6,12,13,2019,3778,3193,6971,,
6/13/2019,4937,3338,8275,4277,3350,7627,3319,2780,6099,4,4,0,0,6,6,13,14,2019,4937,3338,8275,,
6/14/2019,4710,3463,8173,4624,3255,7879,3588,2701,6289,5,5,1,1,6,6,14,15,2019,4710,3463,8173,,
6/15/2019,5159,4749,9908,4834,4136,8970,3751,3432,7183,6,6,1,1,6,6,15,16,2019,5159,4749,9908,,
6/16/2019,4643,4478,9121,4104,4597,8701,3185,3482,6667,7,7,1,1,6,6,16,17,2019,4643,4478,9121,,
6/17/2019,4496,4544,9040,3537,3741,7278,2745,3104,5849,1,1,0,0,6,6,17,18,2019,4496,4544,9040,,
